MRUN,n_oportunidades,n_supera,n_supera_con_empate,mejor_puntaje,mejor_margen,tiene_alternativa,estado3,n_preferencias,n_carreras_distintas,DEP_NOMBRE,CLEC_MAX,MATE1_MAX,ptje_obligatorias,decil,grupo_hipotesis
12698808,14,14,14,570.15,144.5,True,Con alternativa alcanzable,4,3,Municipal,492,526,509.0,99,Publico
12699611,3,2,2,556.95,124.50000000000006,True,Con alternativa alcanzable,1,1,Part. Subvencionado,477,587,532.0,7,Otro
12700467,11,8,8,584.6,221.70000000000005,True,Con alternativa alcanzable,10,4,Part. Subvencionado,590,567,578.5,4,Otro
12702090,28,28,28,725.7,339.1,True,Con alternativa alcanzable,3,1,Part. Subvencionado,725,645,685.0,99,Otro
12702513,20,17,17,547.4,156.59999999999997,True,Con alternativa alcanzable,6,5,Part. Subvencionado,514,618,566.0,3,Otro
12702518,13,13,13,582.15,174.70000000000005,True,Con alternativa alcanzable,7,7,SLEP,650,609,629.5,2,Publico
12703182,45,31,31,694.0,319.3,True,Con alternativa alcanzable,7,5,Part. Subvencionado,477,446,461.5,8,Otro
12703183,6,5,5,662.3,249.75,True,Con alternativa alcanzable,3,3,Municipal,671,557,614.0,99,Publico
12703350,14,14,14,729.0,303.35,True,Con alternativa alcanzable,4,3,Municipal,555,793,674.0,2,Publico
12705209,7,6,6,609.1,173.3,True,Con alternativa alcanzable,7,6,Part. Subvencionado,590,579,584.5,99,Otro
12705646,43,41,41,692.3,317.59999999999997,True,Con alternativa alcanzable,7,5,Part. Subvencionado,583,672,627.5,7,Otro
12706356,109,77,77,551.7,188.80000000000007,True,Con alternativa alcanzable,20,13,Municipal,477,380,428.5,99,Publico
12707259,23,22,22,683.7,236.2,True,Con alternativa alcanzable,3,3,SLEP,694,792,743.0,99,Publico
12708309,4,4,4,545.0,107.19999999999999,True,Con alternativa alcanzable,1,1,Part. Subvencionado,576,349,462.5,8,Otro
